,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
Bluestone Equity Partners,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","Software & Technology,Consumer",,,,,Bobby Sharma,Video Verse,https://bluestoneequity.com/,NYC,,,"NYC based PE focused on the M&E industry.
Firmly-rooted in the United States; Experience, expertise, and relationships extend globally.",,,,,,,Active,,
Blume ventures - Test Fund,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Sanjana - Blume Test Investor,,,,,,,,,,,,,,,
Boats,,,,,,,,,,,,,,,,,,,,,,,Active,,
Boldstart,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,," Spotify, Alteryx, SecurityScorecard, Front, LivePerson",,,,,,,,,,,,,,
Bond Capital,"TG 2 ($500M+),TG 1 ($100-500M)",,Private Equity,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics,Edtech & Upskilling",,$100M,$30M,$150M,"Mary Meeker,Keeyan Sanjasaz","Browserstack,Postman,Uber,InDrive,Byju's,Alphasense,Passes",https://www.bondcap.com/,SFO,,,"- Mary Meeker's fund (ex-KPCB)
- Started in 2010 with global focus on tech companies 
- Global growth fund, with 50% exposure in US and rest abroad (mainly emerging economies)
- Founders were ex-KPCB, pioneered growth strategy there

- Keeyan has been with the team since 4 years, co-leads international investments
- $10 bn AUM ($2.5 bn raised in 3rd fund)
- 30% each for consumer, enterprise SaaS, & fintech,, 10% health-tech etc.","03-08-23 | Bond Capital,30-04-24 | Bond Capital","25-04-23 | Bond Capital?Purplle,25-04-23 | Bond Capital?Servify,25-04-23 | Bond Capital?Classplus",checked,,checked,"Browserstack?Lambdatest, Byju's?Unacademy",,Low,Diversified
Bow Wave Capital,TG 3 (Pre-IPO),,Private Equity,"""Growth (C,D)""","BFSI & Fintech,Consumer",,,,,Itai Lemberger,Zomato,https://bowwavecap.com/,NYC,,,"Fintech focussed PE investing in SE Asia.
Pre IPO deal in Zomato (seems like the only India investment)
Limited info",,,,,,Zomato?Dunzo,Active,,
BP Ventures,,,Corporate VC,"""Early (A,B)""",,,,,,,BluSmart,,,,,,,,,,,,,,
Brand Capital,,,Private Equity,"Seed,""Early (A,B)""","Consumer,Healthcare & Lifesciences,BFSI & Fintech,Software & Technology,RE & Infra,Edtech & Upskilling,EV & Mobility",,,,,"Srini Vudayagiri,Rajat Tandon,Vish Sathappan,Mohit Aggarwal","Dataweave,Sharechat,LeverageEdu,Dunzo,PocketFM,Byju's,Purplle",,"BOM,DEL,Pune,BLR,Chennai",,,"Strategic Investment Program ?of The Times Of India Group?, with $3bn+ AUM",,,checked,,,"?Dataweave, Sharechat?Koo, LeverageEdu?Leverage.biz, ?Dunzo, Byju's?Unacademy, ?Purplle",Active,,Diversified
Bravia Capital,,,Private Equity,,,,,,,Vivek Tolat,Rent Alpha,,,,,,,,,,,,,,
Breakthrough Energy Ventures,,,,"Seed,""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
Breyer Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,James W. Breyer," Spotify, Facebook, Etsy, Grammarly, Stash, Didi, Epic Games",,,,,,,,,,,,,,
Briarwood Chase Management,TG 3 (Pre-IPO),,Crossover,"Late Growth (>$500M),Public Markets",,,,,,,,https://www.briarwoodcap.com/,NYC,,,"NYC-based hedge fund. Minimal details available.
Does late-stage consumer, but no India investments yet and no investments on record.
Team had invested in Mobikwik via Net1.",,,,,checked,,Active,,
Brightlane Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Anish Patel," Propelld, Avail Finance, Redwing, StyleCracker",,,,,,,,,,,,,,
Brighton Park Capital,TG 2 ($500M+),,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","Software & Technology,Healthcare & Lifesciences,Edtech & Upskilling,BFSI & Fintech","Consumer-tech,EV & Mobility,Consumer brands",$50M,$30M,$200M,"Ezra Berman,Mark Dzialga",TheMathCompany,https://www.bpc.com/,NYC,,,"Growth equity investor with $4b AUM and $1.6B in latest fund.
Sectors: Fintech, Edtech, Healthcare, SaaS; No consumer, mobility.
17 investments, 1 in India - $50M in TheMathCompany",20-09-22 | Brighton Park Capital,"21-09-22 | Brighton Park Capital?Leverage.biz,21-09-22 | Brighton Park Capital?Webengage,21-09-22 | Brighton Park Capital?Lambdatest,11-11-22 | Brighton Park Capital?Wizcommerce,04-01-24 | Brighton Park Capital?Ultrahuman,10-01-24 | Brighton Park Capital?Jai Kisan",checked,,checked,,,,"Software & Technology,Healthcare & Lifesciences,Edtech & Upskilling,BFSI & Fintech"
Brightstar Capital Partners,,,Private Equity,,,,,,,," Texas Water Supply, InfraServ US",,,,,,,,,,,,,,
Brio Capital,,,,,,,,,,Gleb Grachev,,,,,,,,,,,,,Active,,
Brookfield,TG 2 ($500M+),,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,RE & Infra,Healthcare & Lifesciences,BFSI & Fintech,Industrials,EV & Mobility,Impact/ESG,Supply chain & Logistics",,$20M,$15M,$70M,"Kumar Shah,Aditya Joshi,Matthew Roberts,Josh Raffaelli","Avaada,Total Environment,Indostar Capital Finance",https://www.brookfield.com/,"BOM,CAN",,,"Stake doesn't matter much, would like to look at companies > $500M; 2-3 deals annually in India; Series B and onwards; Need good cap tables.",10-12-21 | Brookfield,"10-12-21 | Brookfield?Grey Orange,21-03-22 | Brookfield?Locus,28-03-22 | Brookfield?Leverage.biz,11-04-22 | Brookfield?Servify,12-04-22 | Brookfield?Servify,27-06-22 | Brookfield?Sprinto,07-11-22 | Brookfield?Grey Orange,19-12-23 | Brookfield?Grey Orange,01-08-24 | Brookfield?Grey Orange",checked,,checked,,,,Diversified
BRTSIF,,,Accelerator,,,,,,,Ambarish Amar Datta,,,,,,,,,,,,,,,
BTX Venture,,,Venture Capital,,,,,,,,,,,,,,,,,,,,,,
Bullpen Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,," Zynga, FanDuel, Udemy, Marketo",,,,,,,,,,,,,,
Burda Principal Investments (Hubert Burda Media),,,Venture Capital,"""Early (A,B)""",,,,,,Albert Shyy," Vinted, Skillshare, Bloom & Wild, Yoto, Ninja Van",,,,,,,,,,,,,,
Burman Holdings,,,Family Office,"""Early (A,B)""","Consumer,Software & Technology",,$10M,,,Ethan Khatri,,,,,,Size Agnostic and are willing to do Series A but won't define a number,,,,,checked,,,,"Consumer,Software & Technology"
Byju's,,,Corporate VC,,,,,,,,Superset,,,,,,,,,,,?Superset,,,
C5 Capital,,,Venture Capital,"""Early (A,B)"",""Mid (B,C)""",,,,,,,"BlueVoyant, Synack, Shape Security, RapidSOS",,,,,,,,,,,,Active,,
C31 Ventures,,,Corporate VC,,,,,,,,,,,,,,,,,,,,,,
Cabra VC,,,Venture Capital,Seed,,,,,,Grigoriy Boudnik," Cashfree Payments, Nearpe",,,,,,,,,,,,,,
Cactus Partners,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)"",""Mid (B,C)""","Impact/ESG,Healthcare & Lifesciences,Software & Technology",,$3-5M,$1M,$10M,"Anurag Goel,Rajeev Kalambi ,Cheshta Wadhwa",Indigrid Tech,https://www.cactusvp.com/,"BOM,DEL,BLR",,,"- Focus on Cleantech, Healthtech, enterprise SaaS
- No US investments as SIBDI/SRI is an LP
- Series A, B and early-C (Webengage, Intrcity pre-IPO, Euler)",11-09-24 | Cactus Partners,"25-02-22 | Cactus Partners?Printo,04-11-22 | Cactus Partners?Tricog,04-11-22 | Cactus Partners?THB,04-11-22 | Cactus Partners?BeatO,11-09-23 | Cactus Partners?Vecmocon,11-09-23 | Cactus Partners?Aerem,11-09-23 | Cactus Partners?HealthAssure,11-09-23 | Cactus Partners?Medfin,28-02-24 | Cactus Partners?Leverage.biz,28-02-24 | Cactus Partners?Scribble Data,28-02-24 | Cactus Partners?Servify,28-02-24 | Cactus Partners?Tricog,28-02-24 | Cactus Partners?Webengage",checked,,checked,Indigrid Tech?Vecmocon,,,"Impact/ESG,Healthcare & Lifesciences,Software & Technology"
Caffeinated Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,," Cult.fit, Kutumb",,,,,Typically partner with founder as early as possible to invest throughout the life of Company.,,,,,,,,,
"Caladium
  Investment",,,Venture Capital,"Late Growth (>$500M),Public Markets","BFSI & Fintech,Consumer,EV & Mobility",,,,,,"Jana SFB,Ather Energy",NA,SIN,,,Affiliate of Singapore-based sovereign wealth fund GIC. minimal info.,,,,,,"Jana SFB?Slice, Ather Energy?Yulu",Active,,
Canaan Partners,,,Venture Capital,"Seed,""Early (A,B)""","Healthcare & Lifesciences,BFSI & Fintech,Software & Technology,Consumer",,,,,"Byron Ling,Rayfe Gaspar-Asaoka",Bzaar,,,,,,,,checked,,,Bzaar?Wizcommerce,,,"Healthcare & Lifesciences,BFSI & Fintech,Software & Technology,Consumer"
Candy Capital,,,Family Office,,"BFSI & Fintech,Consumer,Software & Technology",,,,,"William Benattar,Andrew Stancliffe",LoveLocal,,London,,,"Candy Capital is the tech investment firm of Nick Candy, the property billionaire behind One Hyde Park in London.",16-05-22 | Candy Capital,,,,,?LoveLocal,,,"BFSI & Fintech,Consumer,Software & Technology"
Cap-Meridian Ventures,,,Venture Capital,Seed,,,,,,," Credible Labs, Asteya, RetailMLS",,,,,,,,,,,,,,
Capital 2B (Infoedge),,,Corporate VC,Seed,"Software & Technology,BFSI & Fintech",,,<$500K,$3M,Abhay Kumar Sahoo," Matter, Blubirch, Castler, Finarkein Analytics, Matter Energy, Manastu Space, SuperMoney, MetaMorphoSys Technologies, Leumas",,,,,"Blurb:
- Capital 2B invests in early-stage tech companies.
- $75M VC fund with Info Edge and Temasek as the limited partners.
- Focus Areas: B2B, SaaS, Fintech
- Contact: abhay@capital2b.com
- Based out of infoedge office in Noida
- Same LPs - Temasek + Infoedge
- Check size: $300k-$3m (Avg $1m)
- Earlier was called Redstartlabs now renamed to Capital 2B
- Started in 2020 - made 15 investments

Partners:
Vibhore Sharma
Amit Behl - ex Intel Capital I Ex ICICI ventures
IC - Vibhor, Amit, Sanjeev Bikhchandani

Portfolio:
https://www.redstartlabs.in/portfolio/
https://www.infoedgeventures.in/portfolio.html

Infoedge Ventures
$100m
Temasek + Infoedge
Focus on tech enabled solutions
",,,,,,,,,"Software & Technology,BFSI & Fintech"
Capital A,,,Venture Capital,"Seed,""Early (A,B)""",,,,<$500K,$500K,Ankit Kedia,,,,,,Back unconventional ideas and non - existing categories,,,checked,,,,Active,,
Capital Group,TG 3 (Pre-IPO),,Crossover,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","Healthcare & Lifesciences,BFSI & Fintech,Supply chain & Logistics,Consumer,Software & Technology",,,,,"Irfan Furniturewala,Anirudha Dutta","Star Health,Policybazaar",https://www.capitalgroup.com/,"California,BOM",,,"American financial services group with $2.6T AUM, which is a large FII in the listed Indian market
Invested $38m in Star Health pre IPO",,,checked,,,"Policybazaar?Turtlemint, Zopper",Active,,Diversified
CAPITOL Accelerator,,,Accelerator,,,,,,,,,,,,,"Deadpool
",,,,,,,,,
Capricorn,,,,"""Early (A,B)""",,,,,,,Amaha,,,,,"not relevant 
could be relevant for clean tech stuff
",,,,,,,,,
Capvent,,,Private Equity,,,,,,,Souba Giridhar,,,,,,,,,,,,,,,
Carlyle,TG 2 ($500M+),,Private Equity,"Late Growth (>$500M),""Growth (C,D)"",Public Markets,""Early (A,B)"",""Mid (B,C)""","Consumer,Healthcare & Lifesciences,BFSI & Fintech,Software & Technology,Supply chain & Logistics,Edtech & Upskilling",,,$20M,$1B+,"Sunil Kaul,Kapil Modi,Vipul Agarwal,Ankit Gupta","DailyHunt,Delhivery,VLCC,Piramal Pharma",https://www.carlyle.com/,"BOM,USA (other)",,,"Two Asia-focussed funds (50%+ allocation to India):
- $6.5B Buyouts Fund - $200m+ cheques, 51%+ stake 
- $1B Growth Fund - 40% deployed, $80-120m cheques, flexible with stake. Bar for growth investments - PMF fit, current profitability (not a path to it - $10m EBITDA bar).

Focus sectors for India - FS, IT services, Healthcare, Consumer, Industrials (new), Auto (setting up a $400m platform for acquiring & merging auto component manufacturers)",30-10-24 | Carlyle,,checked,,checked,,,,Diversified
Carmignac,,,Crossover,,,,,,,,,,,,,,,,,,,,,,
Carpediem Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,$2M,$5M,Abhishek Sharman," Yaantra, Flipspaces, Biryani Blues, Sindhuja Microcredit, Coldex, Gadgetwood eService",,,,,,,,,,,,,,
Carzoo,,,,,,,,,,,Spinny,,,,,,,,,,,?Spinny,Active,,
Carzoo,,,,,,,,,,,Spinny,,,,,,,,,,,?Spinny,Active,,
Cascade Investment,,,Family Office,,,,,,,Ankur Vora,,,,,,(Bill and Melinda Gates Investments (BMGI)),,,,,,,,,
Catamaran Ventures,"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",,Family Office,"""Growth (C,D)"",Late Growth (>$500M),""Early (A,B)"",""Mid (B,C)"",Public Markets","Software & Technology,Consumer,BFSI & Fintech,Edtech & Upskilling",,,$500K,$200M,"Sheetal Bhat,Deepak Padaki","ThreadSol,FactorDaily,Udemy,Acko",https://catamaran.in/,BLR,,,"Family office of Narayana Murthy - Institutional setup
Take their time to do deals, okay with missing out on current round for next round",18-08-22 | Catamaran Ventures,"23-03-22 | Catamaran Ventures?Rocketium,23-03-22 | Catamaran Ventures?Stellapps,23-03-22 | Catamaran Ventures?THB,23-03-22 | Catamaran Ventures?Tricog,02-04-22 | Catamaran Ventures?Futwork,02-04-22 | Catamaran Ventures?Idfy,02-04-22 | Catamaran Ventures?Scribble Data,02-04-22 | Catamaran Ventures?Squadstack,02-04-22 | Catamaran Ventures?Webengage,02-04-22 | Catamaran Ventures?Zipy,19-09-22 | Catamaran Ventures?BatterySmart,14-10-24 | Catamaran Ventures?SuperK (Core),28-02-24 | Catamaran Ventures?HealthAssure,28-02-24 | Catamaran Ventures?SmartStaff,28-02-24 | Catamaran Ventures?Ultrahuman,28-02-24 | Catamaran Ventures?Vecmocon,28-02-24 | Catamaran Ventures?Virohan,28-02-24 | Catamaran Ventures?Zopper",checked,,checked,"?ThreadSol, ?FactorDaily",,,Diversified
Cathay Innovation,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","BFSI & Fintech,Healthcare & Lifesciences,Supply chain & Logistics,Consumer,Software & Technology",,,,,"Rajive Keshup,Nicolas Ducray"," Glovo, Chime, Lookout, Iziwork, Ledger",https://cathayinnovation.com/,"SFO,SIN",,,"*Multi-stage investment firm, affiliated to Cathay Capital. $1.5 Bn AUM across several funds. Global investor across continents.
* Responsible for Direct investments but also look at FoF relationships. 
* Prefer Series B & C companies (~$150-300 mn). Prefer scale and profitability proximity
* can do secondary+primary
* Understand supply chain + logistics, health, fintech.
*No India Investments",25-04-24 | Cathay Innovation,"16-05-24 | Cathay Innovation?Jai Kisan,16-05-24 | Cathay Innovation?Pixxel,16-05-24 | Cathay Innovation?Ultrahuman,16-05-24 | Cathay Innovation?Grey Orange",checked,,checked,,,High,Diversified
CBA Capital,,,Venture Capital,,,,,,,Vishal Bharat,,,,,,Deadpool,,,,,,,,,
CBC Japan,TG 1 ($100-500M),,Corporate BSheet,"Seed,""Early (A,B)"",""Mid (B,C)""","Consumer,Healthcare & Lifesciences,Impact/ESG,EV & Mobility,Software & Technology",,,,,Masataro Doi,"Medikabazaar,LetsTransport",https://www.cbc.co.jp/en/,Japan,,,"Japan-based company that provides manufacturing & trading solutions across a variety of sectors (synthetic resins, industrial machinery, foods, fashion, etc.). ",,,checked,,,,,Low,"Consumer,Healthcare & Lifesciences,Impact/ESG,EV & Mobility,Software & Technology"
CDH Investments,TG 1 ($100-500M),,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M),""Early (A,B)"",""Mid (B,C)""","Consumer,Healthcare & Lifesciences,Software & Technology",,,,,"Hu Xiaoling,Wang Lin",Cashify,https://www.cdhfund.com/en/about-en/,China,,,"CDH, the China-focused AMC with $20B AUM across PE, VC, RE, etc.
Focus - Consumer, healthcare, hard tech, business services & infra
PE Head - Hu
VC & growth Head - Wang Lin",,,checked,,,?Cashify,,,
CDH Investments,,,,,,,,,,,,,,,,,,,,,,,Active,,
CDH Investments - VC,,,,,,,,,,,,,,,,,,,,,,,Active,,
CDH Investments - VC,,,Venture Capital,"""Growth (C,D)"",""Mid (B,C)""",,,,,,,,,,,,"VC arm of CDH, the China-focused AMC with $20B AUM.
Focus - Healthcare, consumer, hard tech",,,checked,,,,Active,,
CDPQ,TG 2 ($500M+),,Sovereign Entity,"Late Growth (>$500M),Public Markets,""Growth (C,D)""","Consumer,Software & Technology,RE & Infra,Industrials,Healthcare & Lifesciences,BFSI & Fintech,Supply chain & Logistics",,$200M,$50M,$500M,"Dovaldas Buzinskas,William Du,Meng Ann Lim,Phok Jui Heng",PharmEasy,https://www.cdpq.com/en,"SIN,CAN,DEL,BOM",,,"2nd largest pension fund in Canada with $450Bn AUM globally. $7Bn invested in India so far, mainly in renewables, infra & transportation assets. Backed Fundamentum as an LP.
Can look at $100-500m buyouts but ideally with their GP partner in India (Kedaara). Will rarely do anything on their own.","19-11-21 | CDPQ,25-11-21 | CDPQ,02-08-23 | CDPQ","06-05-21 | CDPQ?Grey Orange,06-05-21 | CDPQ?Spinny,06-05-21 | CDPQ?Locus,06-05-21 | CDPQ?Servify,06-05-21 | CDPQ?Purplle,18-11-21 | CDPQ?Grey Orange,18-11-21 | CDPQ?Dunzo,25-01-22 | CDPQ?Dunzo",checked,checked,checked,,,,Diversified
CDPQ  Fund Investments,,,Crossover,,"Consumer,Software & Technology",,,,,"Dave Brochet,Wai Leng Leong,Harsh Singhal,Anita George",,,CAN,,,"At later stages, can help with debt strategies etc given their perpetual capital nature and focus on LBOs",,,checked,,checked,,,,"Consumer,Software & Technology"
CDS India,,,,,,,,,,Vikas Barge,,,,,,,,,,,,,,,
CE Innovation Capital,,,Venture Capital,"""Early (A,B)"",Seed","BFSI & Fintech,Software & Technology",,,,,Anju Patwardhan," Branch, Active.Ai, Symbo Insurance, Symbo",,,,,"CreditEase Fintech Capital (Singapore)
From Slice Investment Tracker",,,,,,,,,
Celesta Capital,,,Venture Capital,"""Early (A,B)""","Software & Technology,Consumer,Healthcare & Lifesciences,Edtech & Upskilling,Agritech",,,,,"Sriram Viswanathan,Gani Subramaniam,Sudhir Rao,Arun Kumar","Stellapps,Pixis,AgniKul,IdeaForge",,"California,BLR",,,Global deeptech VC based in the Silicon Valley,,,checked,,,?Stellapps,,,"Software & Technology,Consumer,Healthcare & Lifesciences,Edtech & Upskilling,Agritech"
Cemex Ventures,,,Corporate VC,Seed,,,,,,,Carbon Clean,,,,,,,,,,,?Carbon Clean,,,
Cennini Holding,"TG 2 ($500M+),TG 3 (Pre-IPO),TG 1 ($100-500M)",Existing LP,Family Office,"""Early (A,B)""","Software & Technology,Consumer,RE & Infra",,,,,"Philippe Windels,Edward Claeys",,https://www.cennini.be/contact,Europe (other),,,"Belgium based family office of Leo Claeys (very old money with multiple businesses). 
Blume LP in Fund IV. No direct India investments disclosed.",,,,,,,Active,,
Centana Growth Partners,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Early (A,B)""","Software & Technology,BFSI & Fintech",,,,,"Benjamin Cukier,Sarah Kim `,Jay Lee ,Maria LaHorgue"," AlphaSense, Vena Marketing, Jumio, True Link Financial, Varicent",https://www.centanagrowth.com/,NYC,,,"Growth VC investing in US, Canada, UK.
No India investments, but explored Bureau through Kunal in 2023 - May have an India thesis.
Series B sweet spot - Tech and BFSI-tech",,06-09-23 | Centana Growth Partners?Bureau,checked,,,,,,
Centre Court Capital,,,,,,,,,,Alok Samtaney,,,,,,,,,,,,,Active,,
Centre for Innovation Incubation & Entrepreneurship,,,Accelerator,,,,,,,Amber Maheshwari,,,,,,,,,,,,,,,
Centrum Alternative Investment,,,Venture Capital,,,,,,,Ashish Chugani,,,,,,,,,,,,,,,
Cerberus Capital Management,,,,,,,,,,," Staples, Ally, Deutsche Bank, Avon, Shapoorji Pallonji",,,,,,,,,,,,,,
Cercano (ex. Vulcan Capital),,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Tommy Teo,MJ Yu","Teachmint,LoveLocal",,,,,,,,,,,"Teachmint?Classplus, Uolo, ?LoveLocal",,,
Cervin Ventures,,,,"Seed,""Early (A,B)""",,,,,,Preetish Nijhawan," ArmorCode, Anvilogic, Stream, Catch+Release",,,,,,,15-01-23 | Cervin Ventures?BlueCopa,,,,,,,
Chakra Growth Capital,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)""","Impact/ESG,EV & Mobility,Industrials,Software & Technology",,$1-2M,<$500K,$2M,Vineeta Wadhwani,Zypp Electric,,USA (other),,,"Ex-RiSo Capital. Focus on clean energy, mobility, buildings, industrials.
Focus on decarbonization & automation.
Mission is to invest in the intersection of technology disruption, Software, Automation, AI, and blockchain and traditional markets such as energy, transport, buildings, industry, and low-emission fuels.
Mainly pre-series A to series B.",26-07-24 | Chakra Growth Capital,,checked,,checked,,Active,,"Impact/ESG,EV & Mobility,Industrials,Software & Technology"
Chakra India Growth Fund,,,Venture Capital,,,,,,,Vineeta Gupta,,,,,,,,"06-12-24 | Chakra India Growth Fund?Bambrew,06-12-24 | Chakra India Growth Fund?Aerem",,,,,Active,,
Channel Mark Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
Chevron (Ticker: CVX),TG 1 ($100-500M),,Corporate VC,"""Growth (C,D)"",""Early (A,B)"",""Mid (B,C)""","Impact/ESG,Software & Technology",,,$5M,,"James Gable,Akshay Sahni",Carbon Clean,https://www.chevron.com/,USA (other),,,"Chevron Technology Ventures is a VC arm of Chevron. 
To enhance the way Chevron produces and delivers affordable, reliable and ever-cleaner energy.
In its 7th fund.",,,checked,checked,,?Carbon Clean,,,Impact/ESG
Chiratae,,,Venture Capital,"Seed,""Early (A,B)""","Consumer,Software & Technology",Credit/Lending,$5M,$2M,$10M,"Sudhir Sethi,TCM Sundaram,xKaran Mohla (xChiratae),Venkatesh Peddi,Ranjith Menon,Anoop Menon,Mandeep Julka,Subhrajit Chowdhury,Tarang Mittal,Swaminathan Shankar,Kailash,Amish Dedhia,Thejeswi Ramesh ","Shopse,GoMechanic,Bizongo,Lenskart,Locofast,Hexa,Bounce,Oye Rickshaw,Healthifyme,LBB,LoveLocal,SquadStack,Questt,Healthify",,BLR,,,"- Ranjith - Health I B2B 
- Venkatesh - SAAS
- Anup - Consumer tech
- Mandeep - fintech
- Kailash - Deeptech

Checks:
$500k seed ($1-$2m sweet spot)
$5-$7m Series A

Funds:
AUM of $900m - Four funds -> 150m+90m+240m+ 342m (deployed)
Raising a growth fund - domestic capital - 750 Cr + 750 Cr - 75% in existing logos+ 25% in new logos - only Series C and beyond
Fund V will likely be smaller than Fund IV - mkts have cooled off. HNIs prefer investing in USD secondary mkt.

Fintech interest: Infra/ wealthtech/ Insurance infra/ Int'l payments (conservative on lending)","08-08-24 | Chiratae,09-03-24 | Chiratae,18-09-24 | Chiratae","31-08-21 | Chiratae?Airavana,01-09-21 | Chiratae?Preimage,02-09-21 | Chiratae?Lancify,03-09-21 | Chiratae?Winvesta,18-02-21 | Chiratae?HealthAssure,23-03-22 | Chiratae?Aerem,23-03-22 | Chiratae?Alippo,23-03-22 | Chiratae?Ati Motors,23-03-22 | Chiratae?ElectricPe,23-03-22 | Chiratae?Ethereal,23-03-22 | Chiratae?Euler Motors,23-03-22 | Chiratae?Glamplus,23-03-22 | Chiratae?Intrcity,23-03-22 | Chiratae?Rizort,23-03-22 | Chiratae?Rocketium,23-03-22 | Chiratae?Scribble Data,23-03-22 | Chiratae?STAGE,23-03-22 | Chiratae?Stage3,23-03-22 | Chiratae?Unocoin,19-05-22 | Chiratae?Bureau,19-09-22 | Chiratae?Enumerate,19-09-22 | Chiratae?Multipl,19-09-22 | Chiratae?Zapkey,19-09-22 | Chiratae?Zipy,12-04-24 | Chiratae?STAGE,12-04-24 | Chiratae?Mysa,12-04-24 | Chiratae?Aerem,15-04-24 | Chiratae?Laundrymate,15-04-24 | Chiratae?ChefKart,15-04-24 | Chiratae?Freakins,27-08-24 | Chiratae?Multipl,14-10-24 | Chiratae?SuperK (Core),23-10-24 | Chiratae?Ati Motors,23-10-24 | Chiratae?DPDZero",checked,,checked,"GoMechanic?Autoverse, Locofast?Wizcommerce, Hexa?Medfin, Bounce?BatterySmart, Yulu, Oye Rickshaw?BatterySmart, Yulu, Healthifyme?Healthify, ?LBB, ?LoveLocal, SquadStack?Squadstack, Questt?Uolo, ?Healthify",,,"Consumer,Software & Technology"
ChrysCapital,TG 2 ($500M+),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Supply chain & Logistics",,,,,"Kunal Shroff,Prachi Marwah,Ashley Menezes","Xpressbees,Lenskart,HDFC Credila",https://chryscapital.com/,BOM,,,"One of India's largest PE firms.  Typically looks at cos with INR 350cr+ revenue and 8-10% EBITDA.
In 2024, raised $700M continuation fund to acquire its stake in NSE. Looking for pharma buyout deals.",,,checked,,,,,,Diversified
Chubu Electric Power,TG 1 ($100-500M),,Corporate BSheet,"""Mid (B,C)""","Impact/ESG,EV & Mobility",,$40M,,,Hayashi Kingo,OMC Power,https://www.chuden.co.jp/english/,Japan,,,"Listed Japanese electricity provider. Internal target to make strategic investments of $7-8 Bn by 2030 in overseas & renewable energy. 
Partnered with OMC Power in India, which is scaling up its renewable energy portfolio in rural India - Invested $39 Mn for a 20% stake in 2022. ",,,checked,checked,,,,Low,"Impact/ESG,EV & Mobility"
Circularity Capital,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)"",""Mid (B,C)""","Consumer,Agritech,Impact/ESG,Software & Technology",,,,,David Mowat,TrusTrace,https://circularitycapital.com/,"London,Europe (other)",,,"European VC invested in circular economy themes - Circular use models, circular products & materials, circular enabling solutions.",,,checked,checked,,,Active,,
Cisco Ventures,,,Corporate VC,"""Early (A,B)""",,,,,,,"Covacsis,Mobstac,Valgen Infosys,Grey Orange",,,,,,,,,,,"?Covacsis, Mobstac?Uniqode, ?Valgen Infosys, ?Grey Orange",,,
